budget,id,popularity,release_date,revenue,runtime,vote_average,vote_count,doy,year,dow,week,genre_drama,genre_comedy,genre_thriller,genre_romance,genre_action,genre_horror,genre_crime,genre_documentary,genre_adventure,genre_science_fiction,other_genre,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5,revenue_inflated,budget_inflated,title,keywords,month,month_sin,month_cos
0,39062.0,5.168379,1990-03-09,715,99.0,5.9,17,68,1990,4,10,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18352,72028,11511,49425,140356,1716.63762483661,0.0,Coupe de Ville,[],3,1.0,6.123233995736766e-17
500000,31225.0,4.101295,1990-03-13,3779620,71.0,8.2,67,72,1990,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,107840,107842,107843,107844,107845,9074458.600818109,1200445.891494133,Paris is Burning,"[{'id': 108, 'name': 'transvestism'}, {'id': 824, 'name': 'drag queen'}, {'id': 1013, 'name': 'homophobia'}, {'id': 9215, 'name': 'black'}, {'id': 10180, 'name': 'homosexuality'}, {'id': 12532, 'name': 'african american'}, {'id': 14512, 'name': 'new york city'}, {'id': 17975, 'name': 'transgender'}, {'id': 33458, 'name': 'gay man'}, {'id': 34115, 'name': 'transsexual'}, {'id': 155410, 'name': 'reading'}, {'id': 155417, 'name': 'shade'}, {'id': 155418, 'name': 'subculture'}, {'id': 155419, 'name': 'shoplifting'}, {'id': 158718, 'name': 'lgbt'}, {'id': 171636, 'name': 'drag'}, {'id': 180092, 'name': 'nyc'}, {'id': 187056, 'name': 'woman director'}, {'id': 189920, 'name': 'harlem'}, {'id': 195624, 'name': 'black lgbt'}, {'id': 208340, 'name': 'latino lgbt'}, {'id': 234106, 'name': 'voguing'}, {'id': 234107, 'name': 'vogue'}]",3,1.0,6.123233995736766e-17
0,41806.0,0.940509,1990-03-16,2000000,102.0,6.5,11,75,1990,4,11,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2744,99811,23215,3811,66815,4801783.565976532,0.0,"Ay, Carmela!",[],3,1.0,6.123233995736766e-17
14000000,114.0,13.348451,1990-03-23,463000000,119.0,7.0,1807,82,1990,4,12,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1204,1205,1208,1206,1210,1111612895.5235672,33612484.96183572,Pretty Woman,"[{'id': 549, 'name': 'prostitute'}, {'id': 592, 'name': 'capitalism'}, {'id': 995, 'name': 'cinderella'}, {'id': 996, 'name': 'expensive restaurant'}, {'id': 999, 'name': 'sports car'}, {'id': 1022, 'name': 'workaholic'}, {'id': 1023, 'name': 'fire escape'}, {'id': 6054, 'name': 'friendship'}, {'id': 12670, 'name': 'los angeles'}, {'id': 207592, 'name': 'piano'}]",3,1.0,6.123233995736766e-17
13500000,1498.0,13.184585,1990-03-30,202000000,93.0,6.5,486,89,1990,4,13,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,45041,13550,6181,16060,77153,484980140.1636297,32412039.07034159,Teenage Mutant Ninja Turtles,"[{'id': 390, 'name': 'skateboarding'}, {'id': 779, 'name': 'martial arts'}, {'id': 1852, 'name': 'mutant'}, {'id': 3330, 'name': 'pizza delivery'}, {'id': 10278, 'name': 'ninja'}, {'id': 14512, 'name': 'new york city'}]",3,1.0,6.123233995736766e-17
0,24073.0,1.200053,1990-03-30,11359129,103.0,5.3,16,89,1990,4,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56159,1072,1162,18342,19455,27272039.478003718,0.0,Opportunity Knocks,"[{'id': 10391, 'name': 'mafia'}, {'id': 10453, 'name': 'con artist'}, {'id': 13068, 'name': 'impostor'}]",3,1.0,6.123233995736766e-17
11000000,9768.0,8.290384,1990-04-05,8266343,85.0,6.4,289,95,1990,3,14,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,21412,40175,59369,10826,19846594.98406257,26409809.612870924,Cry-Baby,"[{'id': 378, 'name': 'prison'}, {'id': 578, 'name': 'rock and roll'}, {'id': 931, 'name': 'jealousy'}, {'id': 1674, 'name': 'stage'}, {'id': 5638, 'name': 'arrest'}, {'id': 10229, 'name': 'singer'}, {'id': 14857, 'name': 'juvenile delinquent'}]",4,0.8660254037844387,-0.49999999999999983
10000000,41374.0,1.942945,1990-04-06,22424195,98.0,4.7,15,96,1990,4,14,0.0,0.0,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,38560,216171,54865,34,12855,53838065.51562656,24008917.82988266,The First Power,"[{'id': 10714, 'name': 'serial killer'}]",4,0.8660254037844387,-0.49999999999999983
0,32043.0,7.444848,1990-04-27,17037887,92.0,5.3,32,117,1990,4,17,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,36820,23974,10679,70743,15860,40906122.897782594,0.0,The Guardian,[],4,0.8660254037844387,-0.49999999999999983
3000000,34086.0,2.428279,1990-04-27,15369573,100.0,4.8,27,117,1990,4,17,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,4788,131785,19968,1491527,,36900681.52373831,7202675.348964797,Spaced Invaders,"[{'id': 9951, 'name': 'alien'}, {'id': 10539, 'name': 'martian'}, {'id': 12541, 'name': 'misunderstanding'}, {'id': 177349, 'name': 'greedy developer'}]",4,0.8660254037844387,-0.49999999999999983
